,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,target
0,0.4743345049662393,0.8816401942798142,-2.0505433798953723,-1.2519351832738947,-1.0351506468005391,-1.9343670178569596,4
1,-1.0346754198169532,1.7418007853916062,-1.6606285600389108,-1.5559887260246534,-0.3375525574503093,-2.4738375683696305,0
2,-0.5632211652361119,-0.6883808788816093,-0.31841540316278105,-1.8451719778614035,0.3523663506943073,-0.9129283954753789,1
3,-1.2681785296949657,2.7706884962391474,1.0541928065925703,2.8303886191079357,0.3950928203247328,0.6777145505591599,3
4,-1.2163801598258892,-0.3912673730519376,-2.8989312028606644,-0.9130744219961068,-2.1718565229177536,-2.367489608341553,0
5,-0.3186572551407487,1.4947708477442914,1.0169287096896338,-0.4061473702275723,1.404118287118929,-0.07959184256293983,2
6,-0.4466639298171591,-1.756617400729474,-3.667948900200022,-4.190566307528075,-1.791285275885461,-3.6122321003983013,1
7,-1.0298919302558514,2.6218105322631757,-1.3236567496247118,-1.3552647629021926,0.07520217528130435,-2.446301675643247,0
8,1.4939615510691882,0.30810512363245457,-0.4964446811110642,-1.4126842896596337,0.2100679375545296,-0.6076479735813869,4
9,-0.22693515659884625,2.7939528440978654,-2.351687501182928,2.0749439866238357,-2.2275245823295764,-1.4752085847773584,0
10,0.8896257176735629,-3.0808126432723446,-0.1875751874726288,0.0121649941394969,-0.912981149774746,1.051232612403638,2
11,-1.7861036865642939,-0.6958002839725237,-0.5008374013771126,0.1096621405188324,-0.6033994787914227,-0.5149901955289871,0
12,-0.6039477054039607,0.02108021030910512,-1.5106232486890407,1.3167132262315362,-1.8337602053560196,-0.5373086756060197,0
13,2.5515148666908027,-2.2987647037617016,0.2559782387474732,1.191750366348558,-0.8785031945470804,2.016862376250243,2
14,0.8276515931563757,-2.7536520923490637,-2.1367863096692425,-1.9036254201598464,-1.701547773779981,-1.0724779407961753,3
15,-3.7077733300065057,-2.942822546980936,0.326218540929637,-1.3245485136319517,0.21942593972357666,-0.43047475545762026,0
